backdrop_path,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,poster_path,vote_average,vote_count
/jP0dqtRbMtwL9IxSblp4WD7eA68.jpg,2012-07-20,"[18, 10759]",52103,Gangsters: America's Most Evil,['US'],en,Gangsters: America's Most Evil,"A cinematic documentary series that explores the rise and fall of some of the most nefarious and notorious criminals brought to justice by the United States government. From thugs to lethal beauties, outlaws to kingpins, each episode profiles these gangsters and reveals their sinister motives, transgressions and the circumstances that eventually led to their downfall.",7.204,/xIsIE0CGmDwj5eyDzDbdulyLBYI.jpg,0,0
/tyyiT4NmEMve2bn6aXGZyguK9xg.jpg,2008-09-29,"[16, 10762]",20407,Chuggington,['GB'],en,Chuggington,"Koko, Brewster and Wilson are three young, adventurous trainee ""chuggers"", learning about working on the railway in the town of Chuggington, with the help of the railway controller, Vee, the older engines, and their human friends.",29.984,/7LsJcmPIHmbpbO1NceqPPRbSfwL.jpg,7.6,15
/11ihDM8QlLI0BIOGPQpgQ5MfH1n.jpg,2015-01-16,"[10765, 18]",60948,12 Monkeys,['US'],en,12 Monkeys,"The provocative story of Cole, a time traveler from a decimated future in a high-stakes race against the clock. Utilizing a dangerous and untested method of time travel, he journeys from 2043 to the present day on a mission to locate and eradicate the source of a deadly plague that will all but annihilate the human race.",56.753,/tPX5Jg29XSx05qNterYGYGKbh3o.jpg,7.4,833
/wZswJCnl9WveBB8VuIYv8awdu6Z.jpg,2010-08-16,[35],32406,The Big C,['US'],en,The Big C,A suburban mother faces her cancer diagnosis while trying to find humor and happiness as well.,8.797,/72M9N5bONawkSifdfjNlryWZ2uM.jpg,7.2,62
/jgb9xICHFX8wTGQ75js4uNbttQs.jpg,2015-10-26,"[18, 10765, 10759]",62688,Supergirl,['US'],en,Supergirl,"Twenty-four-year-old Kara Zor-El, who was taken in by the Danvers family when she was 13 after being sent away from Krypton, must learn to embrace her powers after previously hiding them. The Danvers teach her to be careful with her powers, until she has to reveal them during an unexpected disaster, setting her on her journey of heroism.",197.728,/zsaiq8ZclPuneuN7loLEbsh1ANJ.jpg,7.3,3627
,2016-07-01,[],88664,Ya Reit,[],en,Ya Reit,"O Rit TV series directed by Philip Asmar, written by Claudia Marshalian, and starring Maggie Bou Ghosn, Qais Sheikh Najib, Maxim Khalil, Pamela Kake Hani Adel Mona Wasef Joseph Bo Nassar.",0.6,,0,0
/MaQ7hbNsiJ30p14UgRdEnXDGMH.jpg,2015-01-06,"[18, 10765]",61550,Marvel's Agent Carter,['US'],en,Marvel's Agent Carter,"It's 1946, and peace has dealt Peggy Carter a serious blow as she finds herself marginalized when the men return home from fighting abroad. Working for the covert SSR (Strategic Scientific Reserve), Peggy must balance doing administrative work and going on secret missions for Howard Stark all while trying to navigate life as a single woman in America, in the wake of losing the love of her life - Steve Rogers.",51.055,/7kqIsjjDMZA5GRMH5VCdQYZJqc6.jpg,7.6,1367
/j2OM4hTMUG5yL96qvV7Kz7t6YWK.jpg,2005-10-28,"[18, 9648, 80, 10765]",3470,Masters of Horror,['US'],en,Masters of Horror,An anthology series written and directed by the most famous names in horror.,15.327,/65QVXDWvWi1IN1Wd6FiPLhmYUMy.jpg,7.1,209
/s3pypVJf05ELPCUA6jSW381nLwm.jpg,2013-03-18,"[18, 80, 9648]",46786,Bates Motel,['US'],en,Bates Motel,"A ""contemporary prequel"" to the 1960 film Psycho, depicting the life of Norman Bates and his mother Norma prior to the events portrayed in Hitchcock's film, albeit in a different fictional town and in a modern setting. The series begins after the death of Norma's husband, when she purchases a motel located in a coastal Oregon town so she and Norman can start a new life.",81.248,/xXKcfZE7ulYxgjjYv51s0zDG69s.jpg,8.1,1205
/4qdkdsmC3vHLs2WUF3ICmSMYeW8.jpg,2007-08-20,"[16, 10751]",14759,Yo Gabba Gabba!,['US'],en,Yo Gabba Gabba!,"Yo Gabba Gabba! is an American children's television show that airs on the Nick Jr. cable network in the United States and the Nick Jr. networks in the United Kingdom & Ireland, Italy, France and Australia as well as Treehouse TV network in Canada and RTE2 on RTÉjr in Ireland.   The show stars five costumed toys-come-to-life and their friend DJ Lance Rock, who explore a single topic in each episode through songs and short storylines in the half-hour program while teaching children life and social skills.  It also encourages viewers to move along with and dance with the characters in the program. The show is noted for its indie-culture guest stars and bands, and for drawing visual inspiration from 8-bit video games and H. R. Pufnstuff.

Created by Christian Jacobs and Scott Schultz, the show is produced by The Magic Store Productions and Wild Brain. The series premiered August 20, 2007 on Nickelodeon as part of its Nick Jr. block, and began broadcasting in reruns on February 23, 2008 on the Nick Jr. TV Channel.  On April 30, 2008 the television show received a Daytime Emmy nomination for Outstanding Achievement in Costume Design/Styling.",11.082,/m4ZmvnSBpd7CaHQ1PL3LKujFXWq.jpg,6.8,12
/1daNZnQmn3UOWGjsv18d4q0CUUd.jpg,2017-11-05,"[35, 18]",71733,SMILF,['US'],en,SMILF,"A raw and honest comedic look at a single, 20-something from Southie whose desires for relationships, sex, and a career collide with the realities of young, single motherhood.",18.068,/yrHVP3NQgvMwGhjcA9W49P7uE4O.jpg,6.2,38
,2014-08-18,"[16, 10762]",64401,Dora and Friends: Into the City!,['US'],en,Dora and Friends: Into the City!,"Dora goes to school and lives in Playa Verde, which is a city. Together with the explorer girls Emma, Kate, Naiya, and Alana and her only male companion, Pablo, Dora and her friends work together and go on amazing adventures while discovering the secrets of their city. Dora has a magical charm bracelet and a smart phone, complete with an app version of the previous Map to aid her. Her friend Kate is fond of drama, while Emma loves music. Alana is tomboyish but loves animals, Naiya is smart and loves to read, and Pablo loves playing soccer.",13.699,/sn9S1JmujZgkOzrrlbPzs2U3GjV.jpg,8.8,5
