adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/sU9wVEAgWPXPULYQMctd0T5MCdI.jpg,"[12, 16, 10751]",50321,en,Mars Needs Moms,"When Martians suddenly abduct his mom, mischievous Milo rushes to the rescue and discovers why all moms are so special.",36.88,/g94LNU4pipIUJLkTvYIgNGfT2J2.jpg,2011-03-09,Mars Needs Moms,False,6,534
False,/m6gpQnFPQd23QKOjbCTMo5oygAb.jpg,"[878, 14, 28]",76757,en,Jupiter Ascending,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",97.221,/2NCcAZ3M3F0FxENYmammBknwpVn.jpg,2015-02-04,Jupiter Ascending,False,5.4,5853
False,/bHDQPPXx5hxkrg7oE9TJXrFHUSg.jpg,"[28, 12, 878, 10749]",79698,en,The Lovers,"The Lovers is an epic romance time travel adventure film. Helmed by Roland Joffé from a story by Ajey Jhankar, the film is a sweeping tale of an impossible love set against the backdrop of the first Anglo-Maratha war across two time periods and continents and centred around four characters — a British officer in 18th century colonial India, the Indian woman he falls deeply in love with, an American present-day marine biologist and his wife.",23.203,/6esL8UH2sXXqbfbaV6bFEUBCDOr.jpg,2015-02-13,The Lovers,False,4.7,62
False,/eYpu1C6Xe3FzHaw5MtMVxLjBtJf.jpg,"[18, 12, 36]",157843,en,Queen of the Desert,"A chronicle of Gertrude Bell's life, a traveler, writer, archaeologist, explorer, cartographer, and political attaché for the British Empire at the dawn of the twentieth century.",10.12,/9WrxqWttzNiEgKGIm3mDteu6jmq.jpg,2015-09-03,Queen of the Desert,False,5.9,219
False,/z9NWUGUu2l0lkz6TxhzdIMkJ7Am.jpg,[18],230266,en,Miss Julie,"Over the course of a midsummer night in Fermanagh in 1890, an unsettled daughter of the Anglo-Irish aristocracy encourages her father's valet to seduce her.",9.219,/z7MxlFVpVJbfPSW54FSR7wQTds8.jpg,2014-09-07,Miss Julie,False,5.7,112
False,/piEEg5kDQyxK05V4Am8sVxFe267.jpg,"[12, 16, 35, 10751]",676701,es,Tadeo Jones 3: la maldición de la momia,"Tad would love for his archeologist colleagues to accept him as one of their own, but he always messes everything up. Tad accidentally destroys a sarcophagus and unleashes an ancient spell endangering the lives of his friends: Mummy, Jeff and Belzoni. With everyone against him and only helped by Sara, he sets off on an adventure that will take him from Mexico to Chicago and from Paris to Egypt, in order to put an end to the curse of the Mummy.",18.102,/pbjanZcRgPyKNPZihS5aTaMtiJT.jpg,2022-08-26,Tad the Lost Explorer and the Mummy's Curse,False,0,0
False,/gOlMx8kFIIUmYVRIKuLbaLhBJSZ.jpg,"[35, 10751, 10749, 14]",10330,en,Freaky Friday,"Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.",45.258,/ipKcZ4Up7dp18XpsfYUc9NKZy3g.jpg,2003-08-05,Freaky Friday,False,6.4,3038
False,/gkT737kgnmI6jZyXbUBJRwVbGkW.jpg,"[12, 18, 10749, 28]",9476,en,A Knight's Tale,"William Thatcher, a knight's peasant apprentice, gets a chance at glory when the knight dies suddenly mid-tournament. Posing as a knight himself, William won't stop until he's crowned tournament champion—assuming matters of the heart don't get in the way.",29.271,/bBzCG34Iel2xgaioYakXd8auPgt.jpg,2001-05-11,A Knight's Tale,False,6.8,2458
False,/5g0W5MUP75zyfluLhhVet15F71z.jpg,"[80, 18]",359940,en,"Three Billboards Outside Ebbing, Missouri","After seven months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town's revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.",24.106,/a4OvIWU5pYSvHNUvHVt1lLtTeIR.jpg,2017-12-01,"Three Billboards Outside Ebbing, Missouri",False,8.1,8445
False,/bSwFFy97HHdU3hkSxafRA5jkXv2.jpg,"[35, 10749]",9029,en,What Happens in Vegas,"During a wild vacation in Las Vegas, career woman Joy McNally and playboy Jack Fuller come to the sober realization that they have married each other after a night of drunken abandon. They are then compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",23.543,/x3yN37OKHOzqnwa5sum8Ut4nobY.jpg,2008-05-07,What Happens in Vegas,False,6.1,2505
