adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/twWLgj5hHFUI9PWE5vpet0OIxjA.jpg,"[27, 80, 18, 53]",763149,en,Aftermath,"Desperate to save their marriage, a young couple takes a deal to move into their dream home, but disturbing events reveal the house's troubled history.",66.724,/cbhxqeDIgeX36x5jmOvl5OP2MCv.jpg,2021-08-04,Aftermath,False,6.5,398
False,/uo5iWMS6szoTU21lThay6rDxnnk.jpg,[18],174341,en,Some Velvet Morning,"Fred arrives at the doorstep of his beautiful young mistress Velvet after four years apart, claiming to have finally left his wife. But when she rejects his attempts to rekindle their romance, his persistence evolves into obsession — and a dark history between the former lovers comes into focus.",6.57,/136WOppljPobT4M5RiaAkMjWuCn.jpg,2013-12-13,Some Velvet Morning,False,6.2,35
False,/oFTA1ugNPas2sKN9q2O6GtwHarw.jpg,"[9648, 18, 27]",335791,en,When the Bough Breaks,A surrogate mother harbors a deadly secret desire for a family of her own with the husband who is expecting to raise her child.,19.22,/mHNAzwNJmEllFa5Lt1RjyyXoGMS.jpg,2016-09-09,When the Bough Breaks,False,5.8,320
False,/y0FFwujmgT11fRuD8yiCEGjT9S5.jpg,"[35, 80, 53]",5516,en,The Ladykillers,"An eccentric, if not charming Southern professor and his crew pose as a band in order to rob a casino, all under the nose of his unsuspecting landlord – a sharp old woman.",14.441,/l4g9R39NCp6VaYFrw6q8JwKNW9x.jpg,2004-03-25,The Ladykillers,False,6.1,1255
False,/1gKju44iROoMtB56FVAuGH41q3g.jpg,"[28, 12, 10751]",295887,en,Beethoven's Treasure Tail,"After everyone's favorite St. Bernard gets fired from a movie, Beethoven begins the long journey home with his trainer, Eddie. On their way, they become stranded in a small coastal town where the beloved canine befriends a young boy who is searching for buried treasure.",13.535,/aUSGrPvffxzlw3Tu1DrVRGnWayP.jpg,2014-10-02,Beethoven's Treasure Tail,False,5.8,61
False,,[35],219674,en,AmeriQua,"AmeriQua is the story of a lazy recent graduate, Charlie (Bobby Kennedy), whose rich parents cut him off with a $5000 check and an ultimatum to start a life of independence and responsibility. Instead, he buys a plane ticket to Italy, gets robbed upon arrival and winds up in Bologna in the care of his new friend Lele (Lele Gabellone), the self-proclaimed King of Bologna, who lives with a scraggly punkabbestia, Ballo (Gianlucca Bazzoli), and the insatiable prostitute frequenter, Il Pisa (Giuseppe Sanfelice). In Bologna, Lele teaches Chrlie the subtle strategies that the King knows so well, namely hitting on Italian women, throwing all-night parties and inciting general anarchy. Charlie takes to it like a pro and in the process meets the dangerously beautiful Valentina (Alessandra Mastronardi) and all-American Jessica (Eva Amurri).",1.155,/r2BiyzImiwjJ789dIQQHZDBO8gS.jpg,2013-02-28,Euro Trapped,False,3.5,5
False,/tQabRmgDtyktWGK23GmcTj2kUgu.jpg,"[27, 9648]",19912,en,The Final Destination,"After a young man's premonition of a deadly race-car crash helps saves the lives of his peers, Death sets out to collect those who evaded their end.",49.414,/5vxXrr1MqGsT4NNeRITpfDnl4Rq.jpg,2009-08-26,The Final Destination,False,5.6,2499
False,/vSOdbckWhi8sWTiOeHYXcaU5QsQ.jpg,"[18, 9648, 27, 14]",362216,en,Collective: Unconscious,A man and his grandmother hide out from an ominous broadcast. The Grim Reaper hosts a TV show. The formerly incarcerated recount and reinterpret their first days of freedom. A suburban mom's life is upturned by the beast growing inside of her. And a high school gym teacher runs drills from inside a volcano. What happens when five of independent film's most adventurous filmmakers join together to literally adapt each other’s dreams for the screen?,2.858,/mJRYgY2cgkEuQDrthQkQXCA5Zs8.jpg,2016-03-13,Collective: Unconscious,False,6.5,8
False,/mYooLfghVZnOAF7HoSyKWNkwDXD.jpg,[35],193893,en,Let's Be Cops,"It's the ultimate buddy cop movie except for one thing: they're not cops.  When two struggling pals dress as police officers for a costume party, they become neighborhood sensations.  But when these newly-minted “heroes” get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.",83.306,/pf4FoUr2phn5WyZjU7rLXSiW1Ve.jpg,2014-08-13,Let's Be Cops,False,6.4,2296
False,/g5Yfe1qafowkSP4qFAk7BygGut3.jpg,[35],2925,en,The First Wives Club,"After years of helping their hubbies climb the ladder of success, three mid-life Manhattanites have been dumped for a newer, curvier model. But the trio is determined to turn their pain into gain. They come up with a cleverly devious plan to hit their exes where it really hurts - in the wallet!",11.749,/2ApifgYnfdJUSmCKzTBrWOYYWsn.jpg,1996-09-20,The First Wives Club,False,6.7,606
